Country,Crime_Index
Venezuela,80.7
Papua New Guinea,80.3
Haiti,78.9
Afghanistan,75.1
South Africa,74.7
Honduras,72.0
Trinidad and Tobago,70.9
Syria,68.1
Jamaica,67.4
Peru,67.1
Nigeria,66.6
Guyana,66.3
Angola,66.3
Cameroon,65.5
Bolivia,65.0
Brazil,64.5
Somalia,63.9
Yemen,63.7
Namibia,63.5
Argentina,63.4
Ecuador,62.5
Bangladesh,61.6
Puerto Rico,61.5
Colombia,60.9
Zimbabwe,60.7
Dominican Republic,60.5
Chile,60.5
Mozambique,60.1
Us Virgin Islands,59.9
Paraguay,59.8
El Salvador,58.6
Guatemala,57.7
Bahamas,56.9
Fiji,56.6
Ivory Coast,56.4
Libya,56.4
Kenya,56.0
France,55.4
Kyrgyzstan,54.3
North Korea,54.1
Maldives,54.1
Uganda,54.1
Costa Rica,54.1
Tanzania,53.5
Mexico,53.4
Belize,52.7
Botswana,52.7
Algeria,52.6
Mongolia,52.1
Uruguay,52.0
Cambodia,51.3
Burma,50.9
Nicaragua,50.8
Ethiopia,50.7
Iran,50.5
Mauritius,50.0
Belarus,49.8
Belgium,49.4
United States,49.2
Malaysia,48.9
United Kingdom,48.3
New Zealand,48.2
Sweden,48.0
Morocco,47.8
Ireland,47.6
Egypt,47.3
Australia,47.3
Ukraine,47.0
Italy,46.9
Lebanon,46.8
Greece,46.4
Indonesia,46.0
Canada,45.7
Zambia,45.6
Sudan,45.5
Ghana,45.4
Kazakhstan,45.2
Tunisia,45.1
Barbados,44.9
Albania,44.7
India,44.3
Moldova,44.3
Pakistan,43.7
Philippines,43.1
Iraq,43.1
Malta,43.0
Palestine,42.8
Panama,42.7
Sri Lanka,42.1
Bosnia and Herzegovina,41.7
Turkey,41.2
Macedonia,41.1
Kosovo (Disputed Territory),40.8
Vietnam,40.8
Jordan,40.0
Germany,39.4
Russia,38.7
Thailand,37.3
Serbia,37.2
Latvia,37.1
Nepal,36.7
Spain,36.6
Bulgaria,36.1
Montenegro,35.4
Cuba,34.4
Luxembourg,34.2
Hungary,33.7
Cyprus,33.1
Norway,33.0
Kuwait,32.8
Lithuania,32.4
Romania,32.3
Portugal,32.1
Azerbaijan,31.8
Israel,31.8
Slovakia,31.0
Cayman Islands,30.8
Austria,29.5
Brunei,29.3
Poland,29.0
Uzbekistan,27.9
Rwanda,26.9
Netherlands,26.9
Finland,26.8
Czech Republic,26.5
Switzerland,26.5
Georgia,26.3
Denmark,26.0
Iceland,25.7
Croatia,25.5
South Korea,24.9
Bahrain,24.5
China,24.0
Saudi Arabia,23.9
Slovenia,23.8
Estonia,23.7
Monaco,23.3
Japan,22.9
Singapore,22.6
Armenia,22.1
Hong Kong (China),21.5
Isle Of Man,21.0
Oman,18.3
Taiwan,17.1
Qatar,15.8
UAE,15.5
Andorra,15.3
