Country,Gender_Pay_Gap
United States,18.1
Czech Republic,16.3
Mexico,16.5
Australia,14.3
United Kingdom,16.8
South Korea,36.7
Slovakia,13.9
Austria,17.0
Iceland,9.9
Chile,21.1
Portugal,18.9
Colombia,11.1
Costa Rica,3.7
Finland,18.1
Ireland,14.4
Japan,25.7
Canada,18.6
Norway,7.1
Hungary,9.5
Denmark,5.8
Greece,6.2
Luxembourg,3.4
Lithuania,12.5
Netherlands,14.1
New Zealand,6.1
Latvia,21.1
Belgium,3.3
Estonia,28.3
Italy,5.6
France,9.9
Germany,17.1
Switzerland,16.9
Spain,11.5
Poland,11.1
Slovenia,5.0
Turkey,6.9
Sweden,13.4
Israel,21.8
