Country,HALE
Zimbabwe,51.24891
Botswana,53.10367
Burundi,55.84414
Sierra Leone,53.12722
Micronesia (country),57.93119
Haiti,53.9362
Seychelles,64.72145
Ecuador,64.34154
Moldova,61.21178
Serbia,63.87477
Egypt,60.36317
Senegal,58.903
Mongolia,61.31316
El Salvador,62.1961
Barbados,66.66857
Argentina,64.79436
Saudi Arabia,65.64451
Montenegro,65.14715
Guyana,56.82071
Sao Tome and Principe,62.44256
Equatorial Guinea,53.25633
Bangladesh,63.05119
Samoa,61.57028
Morocco,62.33965
Eritrea,55.42494
Saint Vincent and the Grenadines,62.87965
Antigua and Barbuda,66.52282
Singapore,73.64695
Burkina Faso,54.56242
Somalia,47.42339
Mali,53.55715
Bosnia and Herzegovina,64.98582
Denmark,70.05689
South Korea,72.45059
Belarus,63.70762
Cambodia,60.63072
South Africa,52.75708
Malta,70.71279
Djibouti,56.99237
Iceland,71.37049
Angola,53.76187
Mauritania,60.39312
Eastern Mediterranean (WHO),59.03769
Dominican Republic,63.56255
Solomon Islands,57.36718
Mauritius,63.6317
Hungary,64.83879
Vanuatu,58.68255
Slovenia,69.35554
East Timor,59.53127
Mexico,61.43518
Slovakia,64.94128
Vietnam,65.35112
Honduras,60.04648
Guinea-Bissau,51.45037
Saint Lucia,61.762
DR Congo,53.20516
Gabon,56.25887
Finland,69.92942
Peru,62.98693
Niger,52.60992
Ghana,57.88252
Austria,69.78945
France,70.08346
Nigeria,54.94979
Paraguay,60.87814
Bahamas,61.51529
Venezuela,62.04616
Papua New Guinea,57.48176
North Korea,64.73145
Nicaragua,64.61449
Panama,66.73553
Germany,68.93389
Gambia,55.84254
Palestine,62.93464
World,61.91107
Macedonia,63.71235
Azerbaijan,64.04244
Pakistan,56.89015
Norway,71.15531
Brunei,67.10358
Georgia,62.47585
Greece,68.55282
Philippines,58.7678
Mozambique,49.71591
Qatar,66.2063
Guinea,53.42626
Armenia,64.01331
Burma,59.75065
Rwanda,58.71232
Estonia,66.74033
Russia,60.93956
Namibia,52.82296
Guatemala,59.25328
Swaziland,47.4674
Romania,63.84713
Nepal,60.20389
Grenada,63.16201
Bulgaria,62.38891
Ethiopia,58.82731
Bahrain,64.23784
Puerto Rico,68.82376
Netherlands,69.9687
Australia,70.60636
Europe (WHO),65.95592
Portugal,69.51927
Brazil,61.82654
Fiji,57.69056
Poland,65.52082
New Zealand,69.98322
South Sudan,50.53002
Oman,63.19165
Croatia,66.80262
Jamaica,61.72002
Chile,67.6523
Benin,55.71581
Libya,62.05697
Ireland,70.00318
Tajikistan,63.0851
Canada,69.7836
Afghanistan,50.44624
Kuwait,67.78423
Colombia,65.02156
Western Pacific (WHO),68.1725
Syria,62.27065
Lithuania,64.22813
Tunisia,63.5798
Iraq,61.01582
Cuba,64.61947
Switzerland,71.14916
Chad,51.51506
Tanzania,58.07287
Ivory Coast,55.40625
Uganda,57.22439
Zambia,52.97009
Kyrgyzstan,63.42427
Belize,63.82472
Congo,54.83574
South-East Asia (WHO),59.36919
Israel,70.75753
Togo,55.84901
Lesotho,44.63433
Trinidad and Tobago,61.9447
Japan,73.39518
Costa Rica,67.63482
Thailand,65.75673
China,68.58452
Lebanon,63.21643
Liberia,53.961
Ukraine,61.55216
Albania,66.68796
Bolivia,57.4254
Uzbekistan,63.35887
Kiribati,53.64988
Yemen,56.46368
UAE,67.2737
Malawi,54.66817
Sri Lanka,66.72826
Indonesia,60.66925
Italy,70.56466
Laos,60.4118
Turkey,65.20501
Czech Republic,66.65716
United States,63.91496
Central African Republic,45.43289
Spain,71.10702
Jordan,65.06664
Malaysia,63.94692
India,58.14675
Kazakhstan,61.55452
Americas (WHO),63.24846
Maldives,66.6742
Uruguay,64.98707
Latvia,63.76267
Kenya,58.21708
United Kingdom,68.63631
Sudan,58.53979
Cameroon,54.00703
Luxembourg,71.23441
Comoros,59.01939
Algeria,65.54819
Sweden,71.11832
Belgium,69.79468
Turkmenistan,60.82373
Tonga,63.78331
Iran,63.97516
Suriname,60.30026
Cape Verde,63.76591
Bhutan,64.80463
Madagascar,55.13702
Cyprus,70.74237
Africa (WHO),55.15624
