Country,LGBT_Legal_Status_Score
Zimbabwe,25
Samoa,25
Dominica,100
Djibouti,100
Denmark,100
Jordan,100
Romania,100
Russia,50
Rwanda,100
Saint Kitts and Nevis,100
Uruguay,100
DR Congo,100
Saint Lucia,25
Czech Republic,100
Saint Vincent and the Grenadines,0
Cyprus,100
Qatar,0
San Marino,100
Cuba,100
Sao Tome and Principe,100
Saudi Arabia,0
Croatia,100
Senegal,0
Serbia,100
Ivory Coast,100
Costa Rica,100
Seychelles,100
United States,100
Congo,100
Sierra Leone,25
Algeria,0
Portugal,100
Comoros,0
Oman,0
Nicaragua,100
Niger,100
Vietnam,100
Venezuela,100
Vanuatu,100
Uzbekistan,25
Nigeria,50
North Korea,100
Ethiopia,0
Swaziland,25
Macedonia,100
Estonia,100
Norway,100
Eritrea,0
Dominican Republic,100
Pakistan,0
Palau,100
Equatorial Guinea,100
Panama,100
El Salvador,100
Egypt,0
Papua New Guinea,25
Paraguay,100
Ecuador,100
Peru,100
Philippines,100
East Timor,100
Poland,100
Singapore,100
Colombia,100
New Zealand,100
Tunisia,0
Bolivia,100
Tanzania,0
Thailand,100
Bhutan,100
Benin,100
Belize,100
Belgium,100
Togo,0
Belarus,100
Tonga,25
Trinidad and Tobago,0
Barbados,100
Bangladesh,0
Bahrain,100
Bosnia and Herzegovina,100
Turkey,100
Bahamas,100
Azerbaijan,100
Austria,100
Angola,100
Turkmenistan,25
Tuvalu,25
Australia,100
Armenia,100
Argentina,100
Uganda,0
Ukraine,100
UAE,0
Tajikistan,100
Taiwan,100
China,100
Spain,100
Slovakia,100
Slovenia,100
Chile,100
Solomon Islands,0
Chad,0
Somalia,0
Central African Republic,100
Cape Verde,100
South Africa,100
South Korea,100
Andorra,100
South Sudan,0
Canada,100
Cameroon,0
Syria,0
Sri Lanka,0
Cambodia,100
Burundi,0
Burkina Faso,100
Bulgaria,100
Sudan,0
Brunei,0
Suriname,100
Sweden,100
Brazil,100
Switzerland,100
Botswana,100
United Kingdom,100
Fiji,100
Antigua and Barbuda,100
Zambia,0
Germany,100
Liberia,0
Mauritius,100
Guatemala,100
Iraq,0
Mexico,100
Micronesia (country),100
Lesotho,100
Grenada,25
Greenland,100
Lebanon,25
Moldova,100
Monaco,100
Greece,100
Yemen,0
Latvia,100
Mongolia,100
Ghana,25
Israel,100
Laos,100
Iran,0
Guinea,0
Indonesia,50
Mali,0
Madagascar,100
Afghanistan,0
Malawi,0
Honduras,100
Hungary,100
Malaysia,0
Lithuania,100
Maldives,0
Iceland,100
Guinea-Bissau,100
Liechtenstein,100
Haiti,100
Libya,0
Malta,100
Marshall Islands,100
Guyana,25
India,100
Mauritania,0
Montenegro,100
Ireland,100
Luxembourg,100
Mozambique,100
Namibia,100
Kyrgyzstan,100
Kenya,0
Gambia,0
Nauru,100
Gabon,100
Burma,0
Kiribati,25
France,100
Kuwait,0
Georgia,100
Japan,100
Nepal,100
Jamaica,25
Italy,100
Netherlands,100
Kazakhstan,100
Albania,100
Morocco,0
Finland,100
