Country,Military_Strength_Index
Singapore,82.4
Switzerland,73.8
Ireland,29.7
Taiwan,86.7
New Zealand,36.5
Estonia,23.6
Luxembourg,11.9
Netherlands,78.6
Denmark,73.0
Sweden,83.9
Germany,91.3
Australia,89.0
United Kingdom,94.0
Finland,71.9
Canada,82.7
United States,97.5
Norway,77.3
South Korea,94.5
Japan,93.9
Austria,54.3
Israel,91.1
Chile,72.1
France,93.7
Spain,89.2
Portugal,77.1
Italy,92.8
Poland,87.4
Czech Republic,66.7
Slovenia,29.9
Slovakia,53.4
Hungary,65.8
Greece,82.2
Mexico,80.1
Turkey,93.7
Colombia,72.2
South Africa,77.0
Brazil,92.0
India,96.1
Indonesia,91.5
Philippines,76.7
Thailand,84.9
Vietnam,86.6
China,97.4
Russia,97.4
Egypt,88.6
Nigeria,80.8
Pakistan,91.6
Bangladesh,79.8
Argentina,80.0
Venezuela,70.4
Cuba,55.7
North Korea,79.9
Iran,89.8
Zimbabwe,20.5
Ukraine,87.5
Malaysia,75.2
Costa Rica,
Uruguay,
Panama,
Jamaica,
Peru,71.4
Dominican Republic,
Morocco,62.4
Kenya,39.6
Ghana,
Rwanda,
Botswana,
Mauritius,
Saudi Arabia,86.0
UAE,66.0
Qatar,52.3
Kuwait,43.4
Bahrain,41.8
Jordan,46.2
Tunisia,34.9
