Country,Safety_Index
Venezuela,19.3
Papua New Guinea,19.7
Haiti,21.1
Afghanistan,24.9
South Africa,25.3
Honduras,28.0
Trinidad and Tobago,29.1
Syria,31.9
Jamaica,32.6
Peru,32.9
Nigeria,33.4
Guyana,33.7
Angola,33.7
Cameroon,34.5
Bolivia,35.0
Brazil,35.5
Somalia,36.1
Yemen,36.3
Namibia,36.5
Argentina,36.6
Ecuador,37.5
Bangladesh,38.4
Puerto Rico,38.5
Colombia,39.1
Zimbabwe,39.3
Dominican Republic,39.5
Chile,39.5
Mozambique,39.9
Us Virgin Islands,40.1
Paraguay,40.2
El Salvador,41.4
Guatemala,42.3
Bahamas,43.1
Fiji,43.4
Ivory Coast,43.6
Libya,43.6
Kenya,44.0
France,44.6
Kyrgyzstan,45.7
North Korea,45.9
Maldives,45.9
Uganda,45.9
Costa Rica,45.9
Tanzania,46.5
Mexico,46.6
Belize,47.3
Botswana,47.3
Algeria,47.4
Mongolia,47.9
Uruguay,48.0
Cambodia,48.7
Burma,49.1
Nicaragua,49.2
Ethiopia,49.3
Iran,49.5
Mauritius,50.0
Belarus,50.2
Belgium,50.6
United States,50.8
Malaysia,51.1
United Kingdom,51.7
New Zealand,51.8
Sweden,52.0
Morocco,52.2
Ireland,52.4
Egypt,52.7
Australia,52.7
Ukraine,53.0
Italy,53.1
Lebanon,53.2
Greece,53.6
Indonesia,54.0
Canada,54.3
Zambia,54.4
Sudan,54.5
Ghana,54.6
Kazakhstan,54.8
Tunisia,54.9
Barbados,55.1
Albania,55.3
India,55.7
Moldova,55.7
Pakistan,56.3
Philippines,56.9
Iraq,56.9
Malta,57.0
Palestine,57.2
Panama,57.3
Sri Lanka,57.9
Bosnia and Herzegovina,58.3
Turkey,58.8
Macedonia,58.9
Kosovo (Disputed Territory),59.2
Vietnam,59.2
Jordan,60.0
Germany,60.6
Russia,61.3
Thailand,62.7
Serbia,62.8
Latvia,62.9
Nepal,63.3
Spain,63.4
Bulgaria,63.9
Montenegro,64.6
Cuba,65.6
Luxembourg,65.8
Hungary,66.3
Cyprus,66.9
Norway,67.0
Kuwait,67.2
Lithuania,67.6
Romania,67.7
Portugal,67.9
Azerbaijan,68.2
Israel,68.2
Slovakia,69.0
Cayman Islands,69.2
Austria,70.5
Brunei,70.7
Poland,71.0
Uzbekistan,72.1
Rwanda,73.1
Netherlands,73.1
Finland,73.2
Czech Republic,73.5
Switzerland,73.5
Georgia,73.7
Denmark,74.0
Iceland,74.3
Croatia,74.5
South Korea,75.1
Bahrain,75.5
China,76.0
Saudi Arabia,76.1
Slovenia,76.2
Estonia,76.3
Monaco,76.7
Japan,77.1
Singapore,77.4
Armenia,77.9
Hong Kong (China),78.5
Isle Of Man,79.0
Oman,81.7
Taiwan,82.9
Qatar,84.2
UAE,84.5
Andorra,84.7
